faval,fakdm,fakdul,fa01b,fakduk,facu33,fabelu,fakunr,fadato,fadaff,faavdr,faopko,fajour,faggrp,faaccn,faexra,fafrbn,falevn,famade,faagrn,fataxa,facuri,facd12,facd13,facd21,facd22,facd23,facd31,faavd,faopd,fali,favk,fabeln,fakda,fask,fafakt,famnd,facd32,favt,facc,faamou
USD,N,J,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52734,2,FRA,0,A,S,0,0,,,0,0
USD,N,,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52735,1,ABC,0,A,S,0,0,,,0,0
USD,N,J,,,,0,25,0,0,0,,0,,0,0,0,0,,0,0,USD,,,,,,,1,52735,2,FRA,0,A,S,0,0,,,0,0
NOK,N,,,,,0,75,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52735,3,FAK,40,B,K,0,0,,,0,0
NOK,J,,,,,0,75,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52735,4,SPE,500,B,K,0,0,,,0,0
NOK,N,,,B,,0,75,0,0,0,,1001835,,0,0,0,0,,0,0,,,,,,,,1,52735,5,TER,11385,B,K,0,0,,,0,0
NOK,J,,,B,,0,75,0,0,0,,1001836,,0,0,0,0,,0,0,,,,,,,,1,52735,6,UTK,9000,B,K,0,0,,,0,0
NOK,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52737,1,FRA,0,A,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52737,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,24,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52739,1,FRA,-63905,K,S,786,9,,SINGAPORE AIRLI S:02,20,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52739,2,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
